id,perc_natural,alt_mean,conn_eco_mean,distance,fragmentada
234,100.0,1185.51724137931,4.03099822542055,20354.131261883,0
234,100.0,1185.51724137931,4.03099822542055,20354.131261883,0
234,100.0,1185.51724137931,4.03099822542055,20354.131261883,0
235,100.0,1212.17948717949,4.02731348226316,19693.6870245586,0
235,100.0,1212.17948717949,4.02731348226316,19693.6870245586,0
235,100.0,1212.17948717949,4.02731348226316,19693.6870245586,0
236,100.0,1335.0,4.02644065293399,19594.4353449072,0
236,100.0,1335.0,4.02644065293399,19594.4353449072,0
236,100.0,1335.0,4.02644065293399,19594.4353449072,0
495,100.0,1196.15384615385,4.02340754314705,20339.0874189204,0
495,100.0,1196.15384615385,4.02340754314705,20339.0874189204,0
495,100.0,1196.15384615385,4.02340754314705,20339.0874189204,0
496,100.0,1194.84615384615,4.02342392829621,19627.2546788844,0
496,100.0,1194.84615384615,4.02342392829621,19627.2546788844,0
496,100.0,1194.84615384615,4.02342392829621,19627.2546788844,0
497,100.0,1163.54166666667,4.02856805925576,18941.4829257134,0
497,100.0,1163.54166666667,4.02856805925576,18941.4829257134,0
497,100.0,1163.54166666667,4.02856805925576,18941.4829257134,0
498,100.0,1198.92857142857,4.03132744098095,18484.6260095859,0
498,100.0,1198.92857142857,4.03132744098095,18484.6260095859,0
498,100.0,1198.92857142857,4.03132744098095,18484.6260095859,0
757,100.0,1201.81818181818,4.01842796587341,19662.5772430349,0
757,100.0,1201.81818181818,4.01842796587341,19662.5772430349,0
757,100.0,1201.81818181818,4.01842796587341,19662.5772430349,0
758,100.0,1198.91304347826,4.0212810637933,18925.3161937553,0
758,100.0,1198.91304347826,4.0212810637933,18925.3161937553,0
758,100.0,1198.91304347826,4.0212810637933,18925.3161937553,0
759,100.0,1210.3,4.02834517002106,18213.1337838638,0
759,100.0,1210.3,4.02834517002106,18213.1337838638,0
759,100.0,1210.3,4.02834517002106,18213.1337838638,0
760,100.0,1232.41379310345,4.02954855652067,17529.0870105726,0
760,100.0,1232.41379310345,4.02954855652067,17529.0870105726,0
760,100.0,1232.41379310345,4.02954855652067,17529.0870105726,0
1018,100.0,1160.0,4.02167415618896,19799.1101175491,0
1018,100.0,1160.0,4.02167415618896,19799.1101175491,0
1018,100.0,1160.0,4.02167415618896,19799.1101175491,0
1019,100.0,1164.05405405405,4.01913464808545,19014.6104520219,0
1019,100.0,1164.05405405405,4.01913464808545,19014.6104520219,0
1019,100.0,1164.05405405405,4.01913464808545,19014.6104520219,0
1020,99.5674740484429,1133.0,4.02174125709534,18251.1933811859,0
1020,99.5674740484429,1133.0,4.02174125709534,18251.1933811859,0
1020,99.5674740484429,1133.0,4.02174125709534,18251.1933811859,0
1021,100.0,1132.7,4.02454533843994,17511.6164026268,0
1021,100.0,1132.7,4.02454533843994,17511.6164026268,0
1021,100.0,1132.7,4.02454533843994,17511.6164026268,0
1022,100.0,1190.05555555556,4.02708055570474,17014.7174307266,0
1022,100.0,1190.05555555556,4.02708055570474,17014.7174307266,0
1022,100.0,1190.05555555556,4.02708055570474,17014.7174307266,0
1023,100.0,1320.0,4.02934411077788,17378.7137546687,0
1023,100.0,1320.0,4.02934411077788,17378.7137546687,0
1023,100.0,1320.0,4.02934411077788,17378.7137546687,0
1240,46.9135802469136,210.0,2.87998777511073,29904.6841109674,0
1240,46.9135802469136,210.0,2.87998777511073,29904.6841109674,0
1280,100.0,1114.69387755102,4.02161683513477,19207.8949458462,0
1280,100.0,1114.69387755102,4.02161683513477,19207.8949458462,0
1280,100.0,1114.69387755102,4.02161683513477,19207.8949458462,0
1281,99.4490358126722,1064.15,4.02160724945068,18398.2031037264,0
1281,99.4490358126722,1064.15,4.02160724945068,18398.2031037264,0
1281,99.4490358126722,1064.15,4.02160724945068,18398.2031037264,0
1282,99.7326203208556,1066.35,4.02563668651581,17608.0812878994,0
1282,99.7326203208556,1066.35,4.02563668651581,17608.0812878994,0
1282,99.7326203208556,1066.35,4.02563668651581,17608.0812878994,0
1283,100.0,1148.35,4.02508669033051,16840.284315788,0
1283,100.0,1148.35,4.02508669033051,16840.284315788,0
1283,100.0,1148.35,4.02508669033051,16840.284315788,0
1284,100.0,1188.53658536585,4.02647678942094,16650.8084175807,0
1284,100.0,1188.53658536585,4.02647678942094,16650.8084175807,0
1284,100.0,1188.53658536585,4.02647678942094,16650.8084175807,0
1501,0.0,200.325377246401,3.27273082733154,28612.5284280488,1
1501,0.0,200.325377246401,3.27273082733154,28612.5284280488,1
1502,20.2162162162162,223.369565217391,2.43662194626211,28902.2193466641,1
1502,20.2162162162162,223.369565217391,2.43662194626211,28902.2193466641,1
1503,27.2357723577236,235.877192982456,2.72547891917622,29288.913429606,1
1503,27.2357723577236,235.877192982456,2.72547891917622,29288.913429606,1
1504,13.7614678899083,232.368421052632,2.59944027455556,29715.046411121,1
1504,13.7614678899083,232.368421052632,2.59944027455556,29715.046411121,1
1505,59.8930481283422,227.5,2.50190400959823,30164.5286895154,0
1505,59.8930481283422,227.5,2.50190400959823,30164.5286895154,0
1542,99.6815286624204,963.636363636364,4.02201577216298,18651.5869312638,0
1542,99.6815286624204,963.636363636364,4.02201577216298,18651.5869312638,0
1542,99.6815286624204,963.636363636364,4.02201577216298,18651.5869312638,0
1543,99.7245179063361,1103.7,4.02293175678253,17816.6311139282,0
1543,99.7245179063361,1103.7,4.02293175678253,17816.6311139282,0
1543,99.7245179063361,1103.7,4.02293175678253,17816.6311139282,0
1544,100.0,1116.1,4.0282655248642,16999.49979985,0
